#timestamp,x,y,z,qw,qx,qy,qz
1747898805774834432,0.10000000149011612,0.0,-9.0,0.7071067690849304,0.0,-0.7071067690849304,0.0
1747898806968658176,0.10000000149011612,0.0,-8.199999809265137,0.7071067690849304,0.0,-0.7071067690849304,0.0
1747898808160124928,0.10000000149011612,0.0,-7.399999618530273,0.7071067690849304,0.0,-0.7071067690849304,0.0
1747898809334809088,0.10000000149011612,0.0,-6.599999904632568,0.7071067690849304,0.0,-0.7071067690849304,0.0
1747898810499703296,0.10000000149011612,0.0,-5.800000190734863,0.7071067690849304,0.0,-0.7071067690849304,0.0
1747898811674850560,0.10000000149011612,0.0,-5.0,0.7071067690849304,0.0,-0.7071067690849304,0.0
1747898812869303552,0.10000000149011612,0.0,-4.199999809265137,0.7071067690849304,0.0,-0.7071067690849304,0.0
1747898814047428608,0.10000000149011612,0.0,-3.4000000953674316,0.7071067690849304,0.0,-0.7071067690849304,0.0
1747898815223958528,0.10000000149011612,0.0,-2.5999999046325684,0.7071067690849304,0.0,-0.7071067690849304,0.0
1747898816460407552,0.10000000149011612,0.0,-1.7999999523162842,0.7071067690849304,0.0,-0.7071067690849304,0.0
1747898817682290432,0.10000000149011612,0.0,-1.0,0.7071067690849304,0.0,-0.7071067690849304,0.0
